2026-07-13 12:36:08 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température de l'air, journées chaudes, nuits tropicales et jours de gel - Villes et FUA' (DSD_FUA_CLIM@DF_TEMPERATURES)...
2026-07-13 12:36:08 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:08 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Risques liés au vent - Villes et FUAs' (DSD_FUA_CLIM@DF_WIND)...
2026-07-13 12:36:08 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:36:08 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par sexe et groupe d'âges - Villes et FUA' (DSD_FUA_DEMO@DF_AGE_SEX)...
2026-07-13 12:36:09 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:36:09 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par nationalité - Villes et FUA' (DSD_FUA_DEMO@DF_CITIZENSHIP)...
2026-07-13 12:36:09 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:36:09 | INFO     | oecd_connector | discover:354 | 0 dataflow(s) identifie(s) comme couvrant BFA.
2026-07-13 12:36:09 | INFO     | oecd_connector | main:193 | Execution terminee en 7.1 secondes.
2026-07-13 12:40:17 | INFO     | oecd_connector | main:120 | Demarrage du connecteur OCDE - BF Pulse.
2026-07-13 12:40:17 | INFO     | oecd_connector | main:121 | Configuration chargee : pays cible=BFA, quota API=60 req/h, base=https://sdmx.oecd.org/public/rest
2026-07-13 12:40:17 | INFO     | oecd_connector | database:119 | Verification/creation des tables PostgreSQL...
2026-07-13 12:40:17 | INFO     | oecd_connector | database:121 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 12:40:17 | INFO     | oecd_connector | discover:122 | Recuperation de la liste des dataflows OCDE (all)...
2026-07-13 12:40:18 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/dataflow/all/all/latest [200] (8820439 octets)
2026-07-13 12:40:18 | INFO     | oecd_connector | discover:160 | 1541 dataflows trouves.
2026-07-13 12:40:18 | INFO     | oecd_connector | discover:164 | Analyse limitee aux 15 premiers dataflows (MAX_DATAFLOWS_TO_SCAN).
2026-07-13 12:40:18 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Air Emissions Accounts' (SEEA_AEA_A)...
2026-07-13 12:40:18 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/ESTAT/SEEAAIR/1.4 [200] (721148 octets)
2026-07-13 12:40:18 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Country Global Dataflow' (DF_SDG_GLC)...
2026-07-13 12:40:19 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 12:40:19 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Harmonized Global Dataflow' (DF_SDG_GLH)...
2026-07-13 12:40:19 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 12:40:19 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Projections climatiques pour la période 2030-2060 - Villes et FUAs' (DSD_FUA_CLIM@DF_CLIM_PROJ)...
2026-07-13 12:40:20 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 12:40:20 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations côtières - Villes et FUA' (DSD_FUA_CLIM@DF_COASTAL_FLOOD)...
2026-07-13 12:40:20 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:20 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Sécheresse - Villes et FUAs' (DSD_FUA_CLIM@DF_DROUGHT)...
2026-07-13 12:40:20 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 12:40:20 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Feux de forêt - Villes et FUA' (DSD_FUA_CLIM@DF_FIRES)...
2026-07-13 12:40:20 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:21 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Stress thermique - Villes et FUA' (DSD_FUA_CLIM@DF_HEAT_STRESS)...
2026-07-13 12:40:21 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:21 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température à la surface du sol - Villes et FUAs' (DSD_FUA_CLIM@DF_LAND_TEMP)...
2026-07-13 12:40:21 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.2 [200] (2122557 octets)
2026-07-13 12:40:21 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Précipitations - Villes et FUAs' (DSD_FUA_CLIM@DF_PRECIP)...
2026-07-13 12:40:21 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:21 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations fluviales - Villes et FUA' (DSD_FUA_CLIM@DF_RIVER_FLOOD)...
2026-07-13 12:40:22 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:22 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température de l'air, journées chaudes, nuits tropicales et jours de gel - Villes et FUA' (DSD_FUA_CLIM@DF_TEMPERATURES)...
2026-07-13 12:40:22 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:22 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Risques liés au vent - Villes et FUAs' (DSD_FUA_CLIM@DF_WIND)...
2026-07-13 12:40:23 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 12:40:23 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par sexe et groupe d'âges - Villes et FUA' (DSD_FUA_DEMO@DF_AGE_SEX)...
2026-07-13 12:40:23 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:40:24 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par nationalité - Villes et FUA' (DSD_FUA_DEMO@DF_CITIZENSHIP)...
2026-07-13 12:40:24 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 12:40:24 | INFO     | oecd_connector | discover:354 | 0 dataflow(s) identifie(s) comme couvrant BFA.
2026-07-13 12:40:24 | INFO     | oecd_connector | main:193 | Execution terminee en 7.4 secondes.
2026-07-13 13:43:41 | INFO     | oecd_connector | main:120 | Demarrage du connecteur OCDE - BF Pulse.
2026-07-13 13:43:41 | INFO     | oecd_connector | main:121 | Configuration chargee : pays cible=BFA, quota API=500 req/h, base=https://sdmx.oecd.org/public/rest
2026-07-13 13:43:41 | INFO     | oecd_connector | database:119 | Verification/creation des tables PostgreSQL...
2026-07-13 13:43:41 | INFO     | oecd_connector | database:121 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 13:43:41 | INFO     | oecd_connector | discover:122 | Recuperation de la liste des dataflows OCDE (all)...
2026-07-13 13:43:43 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/dataflow/all/all/latest [200] (8820439 octets)
2026-07-13 13:43:43 | INFO     | oecd_connector | discover:160 | 1541 dataflows trouves.
2026-07-13 13:43:43 | INFO     | oecd_connector | discover:164 | Analyse limitee aux 15 premiers dataflows (MAX_DATAFLOWS_TO_SCAN).
2026-07-13 13:43:43 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Air Emissions Accounts' (SEEA_AEA_A)...
2026-07-13 13:43:43 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/ESTAT/SEEAAIR/1.4 [200] (721148 octets)
2026-07-13 13:43:43 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Country Global Dataflow' (DF_SDG_GLC)...
2026-07-13 13:43:44 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 13:43:44 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Harmonized Global Dataflow' (DF_SDG_GLH)...
2026-07-13 13:43:45 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 13:43:45 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Projections climatiques pour la période 2030-2060 - Villes et FUAs' (DSD_FUA_CLIM@DF_CLIM_PROJ)...
2026-07-13 13:43:45 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 13:43:45 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations côtières - Villes et FUA' (DSD_FUA_CLIM@DF_COASTAL_FLOOD)...
2026-07-13 13:43:45 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:46 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Sécheresse - Villes et FUAs' (DSD_FUA_CLIM@DF_DROUGHT)...
2026-07-13 13:43:46 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 13:43:46 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Feux de forêt - Villes et FUA' (DSD_FUA_CLIM@DF_FIRES)...
2026-07-13 13:43:46 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:47 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Stress thermique - Villes et FUA' (DSD_FUA_CLIM@DF_HEAT_STRESS)...
2026-07-13 13:43:47 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:47 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température à la surface du sol - Villes et FUAs' (DSD_FUA_CLIM@DF_LAND_TEMP)...
2026-07-13 13:43:48 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.2 [200] (2122557 octets)
2026-07-13 13:43:48 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Précipitations - Villes et FUAs' (DSD_FUA_CLIM@DF_PRECIP)...
2026-07-13 13:43:48 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:48 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations fluviales - Villes et FUA' (DSD_FUA_CLIM@DF_RIVER_FLOOD)...
2026-07-13 13:43:49 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:49 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température de l'air, journées chaudes, nuits tropicales et jours de gel - Villes et FUA' (DSD_FUA_CLIM@DF_TEMPERATURES)...
2026-07-13 13:43:49 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:49 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Risques liés au vent - Villes et FUAs' (DSD_FUA_CLIM@DF_WIND)...
2026-07-13 13:43:49 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:43:49 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par sexe et groupe d'âges - Villes et FUA' (DSD_FUA_DEMO@DF_AGE_SEX)...
2026-07-13 13:43:50 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 13:43:50 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par nationalité - Villes et FUA' (DSD_FUA_DEMO@DF_CITIZENSHIP)...
2026-07-13 13:43:50 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 13:43:50 | INFO     | oecd_connector | discover:354 | 0 dataflow(s) identifie(s) comme couvrant BFA.
2026-07-13 13:43:50 | INFO     | oecd_connector | main:193 | Execution terminee en 9.6 secondes.
2026-07-13 13:46:02 | INFO     | oecd_connector | main:120 | Demarrage du connecteur OCDE - BF Pulse.
2026-07-13 13:46:02 | INFO     | oecd_connector | main:121 | Configuration chargee : pays cible=BFA, quota API=500 req/h, base=https://sdmx.oecd.org/public/rest
2026-07-13 13:46:02 | INFO     | oecd_connector | database:119 | Verification/creation des tables PostgreSQL...
2026-07-13 13:46:02 | INFO     | oecd_connector | database:121 | Tables pretes : sources, datasets, indicators, observations.
2026-07-13 13:46:02 | INFO     | oecd_connector | discover:122 | Recuperation de la liste des dataflows OCDE (all)...
2026-07-13 13:46:04 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/dataflow/all/all/latest [200] (8820439 octets)
2026-07-13 13:46:04 | INFO     | oecd_connector | discover:160 | 1541 dataflows trouves.
2026-07-13 13:46:04 | INFO     | oecd_connector | discover:164 | Analyse limitee aux 15 premiers dataflows (MAX_DATAFLOWS_TO_SCAN).
2026-07-13 13:46:04 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Air Emissions Accounts' (SEEA_AEA_A)...
2026-07-13 13:46:05 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/ESTAT/SEEAAIR/1.4 [200] (721148 octets)
2026-07-13 13:46:05 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Country Global Dataflow' (DF_SDG_GLC)...
2026-07-13 13:46:05 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 13:46:05 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'SDG Harmonized Global Dataflow' (DF_SDG_GLH)...
2026-07-13 13:46:06 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/IAEG-SDGs/SDG/1.20 [200] (2955085 octets)
2026-07-13 13:46:06 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Projections climatiques pour la période 2030-2060 - Villes et FUAs' (DSD_FUA_CLIM@DF_CLIM_PROJ)...
2026-07-13 13:46:07 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 13:46:07 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations côtières - Villes et FUA' (DSD_FUA_CLIM@DF_COASTAL_FLOOD)...
2026-07-13 13:46:08 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:08 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Sécheresse - Villes et FUAs' (DSD_FUA_CLIM@DF_DROUGHT)...
2026-07-13 13:46:08 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.4 [200] (2129131 octets)
2026-07-13 13:46:08 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Feux de forêt - Villes et FUA' (DSD_FUA_CLIM@DF_FIRES)...
2026-07-13 13:46:09 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:09 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Stress thermique - Villes et FUA' (DSD_FUA_CLIM@DF_HEAT_STRESS)...
2026-07-13 13:46:09 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:09 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température à la surface du sol - Villes et FUAs' (DSD_FUA_CLIM@DF_LAND_TEMP)...
2026-07-13 13:46:10 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.2 [200] (2122557 octets)
2026-07-13 13:46:10 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Précipitations - Villes et FUAs' (DSD_FUA_CLIM@DF_PRECIP)...
2026-07-13 13:46:10 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:10 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Inondations fluviales - Villes et FUA' (DSD_FUA_CLIM@DF_RIVER_FLOOD)...
2026-07-13 13:46:11 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:11 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Température de l'air, journées chaudes, nuits tropicales et jours de gel - Villes et FUA' (DSD_FUA_CLIM@DF_TEMPERATURES)...
2026-07-13 13:46:12 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:12 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Risques liés au vent - Villes et FUAs' (DSD_FUA_CLIM@DF_WIND)...
2026-07-13 13:46:13 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_CLIM/1.5 [200] (2631284 octets)
2026-07-13 13:46:13 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par sexe et groupe d'âges - Villes et FUA' (DSD_FUA_DEMO@DF_AGE_SEX)...
2026-07-13 13:46:13 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 13:46:13 | INFO     | oecd_connector | discover:287 | Analyse du dataflow 'Population par nationalité - Villes et FUA' (DSD_FUA_DEMO@DF_CITIZENSHIP)...
2026-07-13 13:46:14 | INFO     | oecd_connector | client:170 | Requete OK : https://sdmx.oecd.org/public/rest/datastructure/OECD.CFE.EDS/DSD_FUA_DEMO/1.2 [200] (2779361 octets)
2026-07-13 13:46:14 | INFO     | oecd_connector | discover:354 | 0 dataflow(s) identifie(s) comme couvrant BFA.
2026-07-13 13:46:14 | INFO     | oecd_connector | main:193 | Execution terminee en 12.0 secondes.
2026-07-13 13:51:24 | INFO     | oecd_connector | main:120 | Demarrage du connecteur OCDE - BF Pulse.
2026-07-13 13:51:24 | INFO     | oecd_connector | main:121 | Configuration chargee : pays cible=BFA, quota API=500 req/h, base=https://sdmx.oecd.org/public/rest
2026-07-13 13:51:24 | INFO     | oecd_connector | database:119 | Verification/creation des tables PostgreSQL...
